Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
1994,Newfoundland and Labrador,Provincial Government,Other Health Spending,"24,042,652",42
1995,Newfoundland and Labrador,Provincial Government,Other Health Spending,"24,156,742",43
1996,Newfoundland and Labrador,Provincial Government,Other Health Spending,"23,427,925",42
1997,Newfoundland and Labrador,Provincial Government,Other Health Spending,"23,211,845",42
1998,Newfoundland and Labrador,Provincial Government,Other Health Spending,"22,687,676",42
1999,Newfoundland and Labrador,Provincial Government,Other Health Spending,"23,452,473",44
2000,Newfoundland and Labrador,Provincial Government,Other Health Spending,"26,877,783",51
2001,Newfoundland and Labrador,Provincial Government,Other Health Spending,"28,823,931",55
2002,Newfoundland and Labrador,Provincial Government,Other Health Spending,"29,715,086",57
2003,Newfoundland and Labrador,Provincial Government,Other Health Spending,"40,069,633",77
2004,Newfoundland and Labrador,Provincial Government,Other Health Spending,"43,652,007",84
2005,Newfoundland and Labrador,Provincial Government,Other Health Spending,"33,844,108",66
2006,Newfoundland and Labrador,Provincial Government,Other Health Spending,"34,919,323",68
2007,Newfoundland and Labrador,Provincial Government,Other Health Spending,"36,162,704",71
2008,Newfoundland and Labrador,Provincial Government,Other Health Spending,"75,190,171",147
2009,Newfoundland and Labrador,Provincial Government,Other Health Spending,"99,210,085",192
2010,Newfoundland and Labrador,Provincial Government,Other Health Spending,"152,266,671",292
2011,Newfoundland and Labrador,Provincial Government,Other Health Spending,"177,360,968",338
2012,Newfoundland and Labrador,Provincial Government,Other Health Spending,"317,005,490",602
2013,Newfoundland and Labrador,Provincial Government,Other Health Spending,"367,297,061",697
2014,Newfoundland and Labrador,Provincial Government,Other Health Spending,"380,472,631",720
2015,Newfoundland and Labrador,Provincial Government,Other Health Spending,"415,954,760",788
2016,Newfoundland and Labrador,Provincial Government,Other Health Spending,"443,233,552",837
2017,Newfoundland and Labrador,Provincial Government,Other Health Spending,"455,657,530",862
2018,Newfoundland and Labrador,Provincial Government,Other Health Spending,"471,412,280",897
2019,Newfoundland and Labrador,Provincial Government,Other Health Spending,"483,373,853",926
1975,Newfoundland and Labrador,Provincial Government,Total,"199,183,000",358
1976,Newfoundland and Labrador,Provincial Government,Total,"218,996,750",389
1977,Newfoundland and Labrador,Provincial Government,Total,"233,477,750",413
1978,Newfoundland and Labrador,Provincial Government,Total,"258,286,750",455
1979,Newfoundland and Labrador,Provincial Government,Total,"297,256,000",521
1980,Newfoundland and Labrador,Provincial Government,Total,"336,842,500",588
1981,Newfoundland and Labrador,Provincial Government,Total,"393,428,000",684
1982,Newfoundland and Labrador,Provincial Government,Total,"461,905,750",805
1983,Newfoundland and Labrador,Provincial Government,Total,"515,738,250",890
1984,Newfoundland and Labrador,Provincial Government,Total,"534,630,250",922
1985,Newfoundland and Labrador,Provincial Government,Total,"561,404,000",969
1986,Newfoundland and Labrador,Provincial Government,Total,"611,196,000","1,061"
1987,Newfoundland and Labrador,Provincial Government,Total,"659,983,500","1,147"
1988,Newfoundland and Labrador,Provincial Government,Total,"699,384,538","1,216"
1989,Newfoundland and Labrador,Provincial Government,Total,"751,092,655","1,303"
1990,Newfoundland and Labrador,Provincial Government,Total,"835,968,263","1,448"
1991,Newfoundland and Labrador,Provincial Government,Total,"861,022,989","1,485"
1992,Newfoundland and Labrador,Provincial Government,Total,"881,026,415","1,519"
1993,Newfoundland and Labrador,Provincial Government,Total,"880,850,095","1,519"
1994,Newfoundland and Labrador,Provincial Government,Total,"902,631,875","1,571"
1995,Newfoundland and Labrador,Provincial Government,Total,"925,474,006","1,631"
1996,Newfoundland and Labrador,Provincial Government,Total,"926,012,591","1,654"
1997,Newfoundland and Labrador,Provincial Government,Total,"968,208,908","1,757"
1998,Newfoundland and Labrador,Provincial Government,Total,"1,050,256,488","1,945"
1999,Newfoundland and Labrador,Provincial Government,Total,"1,190,444,486","2,232"
2000,Newfoundland and Labrador,Provincial Government,Total,"1,246,826,913","2,362"
2001,Newfoundland and Labrador,Provincial Government,Total,"1,333,685,871","2,555"
2002,Newfoundland and Labrador,Provincial Government,Total,"1,423,282,334","2,740"
2003,Newfoundland and Labrador,Provincial Government,Total,"1,498,068,471","2,889"
2004,Newfoundland and Labrador,Provincial Government,Total,"1,538,711,292","2,974"
2005,Newfoundland and Labrador,Provincial Government,Total,"1,590,925,077","3,093"
2006,Newfoundland and Labrador,Provincial Government,Total,"1,690,785,702","3,311"
2007,Newfoundland and Labrador,Provincial Government,Total,"1,832,518,900","3,600"
2008,Newfoundland and Labrador,Provincial Government,Total,"1,990,144,978","3,890"
2009,Newfoundland and Labrador,Provincial Government,Total,"2,203,591,370","4,264"
2010,Newfoundland and Labrador,Provincial Government,Total,"2,438,057,878","4,671"
2011,Newfoundland and Labrador,Provincial Government,Total,"2,595,760,865","4,944"
2012,Newfoundland and Labrador,Provincial Government,Total,"2,809,594,366","5,338"
2013,Newfoundland and Labrador,Provincial Government,Total,"2,843,740,733","5,395"
2014,Newfoundland and Labrador,Provincial Government,Total,"2,852,112,244","5,400"
2015,Newfoundland and Labrador,Provincial Government,Total,"2,958,371,242","5,602"
2016,Newfoundland and Labrador,Provincial Government,Total,"3,004,749,921","5,675"
2017,Newfoundland and Labrador,Provincial Government,Total,"3,039,468,709","5,750"
2018,Newfoundland and Labrador,Provincial Government,Total,"3,138,452,941","5,974"
2019,Newfoundland and Labrador,Provincial Government,Total,"3,137,451,469","6,010"
1975,Prince Edward Island,Provincial Government,Hospitals,"23,225,250",197
1976,Prince Edward Island,Provincial Government,Hospitals,"25,089,500",211
1977,Prince Edward Island,Provincial Government,Hospitals,"26,788,500",223
1978,Prince Edward Island,Provincial Government,Hospitals,"30,305,500",249
1979,Prince Edward Island,Provincial Government,Hospitals,"33,806,000",275
1980,Prince Edward Island,Provincial Government,Hospitals,"38,387,250",310
1981,Prince Edward Island,Provincial Government,Hospitals,"44,113,250",357
1982,Prince Edward Island,Provincial Government,Hospitals,"53,546,000",433
1983,Prince Edward Island,Provincial Government,Hospitals,"58,847,250",470
1984,Prince Edward Island,Provincial Government,Hospitals,"61,299,500",484
1985,Prince Edward Island,Provincial Government,Hospitals,"64,000,750",501
1986,Prince Edward Island,Provincial Government,Hospitals,"68,217,734",531
1987,Prince Edward Island,Provincial Government,Hospitals,"72,548,946",564
1988,Prince Edward Island,Provincial Government,Hospitals,"78,775,647",609
1989,Prince Edward Island,Provincial Government,Hospitals,"86,277,627",663
1990,Prince Edward Island,Provincial Government,Hospitals,"93,947,033",720
1991,Prince Edward Island,Provincial Government,Hospitals,"99,958,365",767
1992,Prince Edward Island,Provincial Government,Hospitals,"102,444,608",783
1993,Prince Edward Island,Provincial Government,Hospitals,"107,197,450",811
1994,Prince Edward Island,Provincial Government,Hospitals,"108,730,604",815
1995,Prince Edward Island,Provincial Government,Hospitals,"112,394,881",836
1996,Prince Edward Island,Provincial Government,Hospitals,"114,882,159",846
1997,Prince Edward Island,Provincial Government,Hospitals,"112,859,748",829
1998,Prince Edward Island,Provincial Government,Hospitals,"115,157,251",848
1999,Prince Edward Island,Provincial Government,Hospitals,"120,090,916",881
2000,Prince Edward Island,Provincial Government,Hospitals,"125,876,137",922
2001,Prince Edward Island,Provincial Government,Hospitals,"133,416,413",976
2002,Prince Edward Island,Provincial Government,Hospitals,"149,887,814","1,095"
2003,Prince Edward Island,Provincial Government,Hospitals,"160,816,396","1,172"
2004,Prince Edward Island,Provincial Government,Hospitals,"167,822,025","1,219"
2005,Prince Edward Island,Provincial Government,Hospitals,"171,017,933","1,239"
2006,Prince Edward Island,Provincial Government,Hospitals,"176,810,124","1,282"
2007,Prince Edward Island,Provincial Government,Hospitals,"184,304,924","1,338"
2008,Prince Edward Island,Provincial Government,Hospitals,"198,197,366","1,428"
2009,Prince Edward Island,Provincial Government,Hospitals,"215,265,103","1,539"
2010,Prince Edward Island,Provincial Government,Hospitals,"236,656,100","1,671"
2011,Prince Edward Island,Provincial Government,Hospitals,"261,872,158","1,819"
2012,Prince Edward Island,Provincial Government,Hospitals,"276,242,265","1,911"
2013,Prince Edward Island,Provincial Government,Hospitals,"287,289,688","1,994"
2014,Prince Edward Island,Provincial Government,Hospitals,"290,967,930","2,017"
2015,Prince Edward Island,Provincial Government,Hospitals,"298,908,924","2,068"
2016,Prince Edward Island,Provincial Government,Hospitals,"308,675,161","2,100"
2017,Prince Edward Island,Provincial Government,Hospitals,"314,562,680","2,089"
2018,Prince Edward Island,Provincial Government,Hospitals,"324,728,473","2,119"
2019,Prince Edward Island,Provincial Government,Hospitals,"335,864,340","2,169"
1975,Prince Edward Island,Provincial Government,Other Institutions,"5,647,500",48
1976,Prince Edward Island,Provincial Government,Other Institutions,"6,634,250",56
1977,Prince Edward Island,Provincial Government,Other Institutions,"7,427,500",62
1978,Prince Edward Island,Provincial Government,Other Institutions,"8,059,250",66
1979,Prince Edward Island,Provincial Government,Other Institutions,"8,756,250",71
1980,Prince Edward Island,Provincial Government,Other Institutions,"9,616,500",78
1981,Prince Edward Island,Provincial Government,Other Institutions,"10,910,000",88
1982,Prince Edward Island,Provincial Government,Other Institutions,"12,407,500",100
1983,Prince Edward Island,Provincial Government,Other Institutions,"13,862,102",111
1984,Prince Edward Island,Provincial Government,Other Institutions,"15,239,381",120
1985,Prince Edward Island,Provincial Government,Other Institutions,"17,571,782",138
1986,Prince Edward Island,Provincial Government,Other Institutions,"20,447,261",159
1987,Prince Edward Island,Provincial Government,Other Institutions,"22,822,755",177
1988,Prince Edward Island,Provincial Government,Other Institutions,"24,653,132",191
1989,Prince Edward Island,Provincial Government,Other Institutions,"24,194,462",186
1990,Prince Edward Island,Provincial Government,Other Institutions,"25,103,149",193
1991,Prince Edward Island,Provincial Government,Other Institutions,"26,090,291",200
1992,Prince Edward Island,Provincial Government,Other Institutions,"28,241,115",216
1993,Prince Edward Island,Provincial Government,Other Institutions,"32,209,040",244
1994,Prince Edward Island,Provincial Government,Other Institutions,"27,326,503",205
1995,Prince Edward Island,Provincial Government,Other Institutions,"26,152,135",195
1996,Prince Edward Island,Provincial Government,Other Institutions,"29,889,435",220
1997,Prince Edward Island,Provincial Government,Other Institutions,"29,789,628",219
1998,Prince Edward Island,Provincial Government,Other Institutions,"29,816,955",220
1999,Prince Edward Island,Provincial Government,Other Institutions,"31,825,223",234
2000,Prince Edward Island,Provincial Government,Other Institutions,"34,019,944",249
2001,Prince Edward Island,Provincial Government,Other Institutions,"36,049,639",264
2002,Prince Edward Island,Provincial Government,Other Institutions,"37,948,036",277
2003,Prince Edward Island,Provincial Government,Other Institutions,"42,113,559",307
2004,Prince Edward Island,Provincial Government,Other Institutions,"44,433,940",323
2005,Prince Edward Island,Provincial Government,Other Institutions,"49,759,490",360
2006,Prince Edward Island,Provincial Government,Other Institutions,"53,694,760",389
2007,Prince Edward Island,Provincial Government,Other Institutions,"57,089,908",415
2008,Prince Edward Island,Provincial Government,Other Institutions,"60,258,019",434
2009,Prince Edward Island,Provincial Government,Other Institutions,"64,132,551",458
2010,Prince Edward Island,Provincial Government,Other Institutions,"69,451,718",490
2011,Prince Edward Island,Provincial Government,Other Institutions,"77,423,899",538
2012,Prince Edward Island,Provincial Government,Other Institutions,"82,481,042",571
2013,Prince Edward Island,Provincial Government,Other Institutions,"87,721,815",609
2014,Prince Edward Island,Provincial Government,Other Institutions,"95,289,674",660
2015,Prince Edward Island,Provincial Government,Other Institutions,"100,591,640",696
2016,Prince Edward Island,Provincial Government,Other Institutions,"103,788,038",706
2017,Prince Edward Island,Provincial Government,Other Institutions,"108,435,013",720
2018,Prince Edward Island,Provincial Government,Other Institutions,"110,825,798",723
2019,Prince Edward Island,Provincial Government,Other Institutions,"116,295,758",751
1975,Prince Edward Island,Provincial Government,Physicians,"6,331,500",54
1976,Prince Edward Island,Provincial Government,Physicians,"7,024,750",59
